1960---1---美国---美洲---5419.89亿 (541,988,586,206)---39.5051%
1960---43---摩洛哥---非洲---20.37亿 (2,037,154,741)---0.1485%
1960---44---爱尔兰---欧洲---19.99亿 (1,998,550,221)---0.1457%
1960---45---马来西亚---亚洲---19.16亿 (1,916,229,477)---0.1397%
1960---46---沙特阿拉伯---亚洲---17.48亿 (1,748,124,063)---0.1274%
1960---47---波多黎各---美洲---16.92亿 (1,691,900,000)---0.1233%
1960---48---埃塞俄比亚---非洲---16.11亿 (1,610,511,693)---0.1174%
1960---49---伊拉克---亚洲---15.37亿 (1,537,252,193)---0.1120%
1960---50---斯里兰卡---亚洲---14.10亿 (1,409,873,949)---0.1028%
1960---51---香港---亚洲---13.21亿 (1,320,796,651)---0.0963%
1960---52---乌拉圭---美洲---12.42亿 (1,242,289,239)---0.0905%
1960---53---加纳---非洲---12.17亿 (1,217,230,094)---0.0887%
1960---54---苏丹---非洲---11.26亿 (1,126,364,161)---0.0821%
1960---55---津巴布韦---非洲---10.53亿 (1,052,990,400)---0.0768%
1960---56---危地马拉---美洲---10.44亿 (1,043,599,900)---0.0761%
1960---57---厄瓜多尔---美洲---10.10亿 (1,010,325,138)---0.0736%
1960---58---叙利亚---亚洲---8.58亿 (857,704,413)---0.0625%
1960---59---塞内加尔---非洲---7.93亿 (792,824,707)---0.0578%
1960---60---肯尼亚---非洲---7.91亿 (791,265,459)---0.0577%
1960---61---卢森堡---欧洲---7.10亿 (709,941,874)---0.0517%
1960---62---新加坡---亚洲---7.05亿 (704,751,700)---0.0514%
1960---63---牙买加---美洲---6.99亿 (699,064,380)---0.0510%
1960---64---赞比亚---非洲---6.99亿 (698,739,720)---0.0509%
1960---65---马达加斯加---非洲---6.73亿 (673,081,724)---0.0491%
1960---66---多米尼加---美洲---6.72亿 (672,399,700)---0.0490%
1960---67---柬埔寨---亚洲---6.37亿 (637,142,865)---0.0464%
1960---68---喀麦隆---非洲---6.14亿 (614,206,068)---0.0448%
1960---69---玻利维亚---美洲---5.63亿 (563,110,051)---0.0410%
1960---70---科特迪瓦---非洲---5.46亿 (546,203,559)---0.0398%
1960---71---缅甸---亚洲---5.45亿 (545,098,447)---0.0397%
1960---72---阿富汗---亚洲---5.38亿 (537,777,811)---0.0392%
1960---73---巴拿马---美洲---5.37亿 (537,147,100)---0.0392%
1960---74---特立尼达和多巴哥---美洲---5.36亿 (535,673,252)---0.0390%
1960---75---尼泊尔---亚洲---5.08亿 (508,334,413)---0.0371%
1960---76---哥斯达黎加---美洲---5.08亿 (507,513,829)---0.0370%
1960---77---尼日尔---非洲---4.50亿 (449,526,873)---0.0328%
1960---78---乌干达---非洲---4.23亿 (423,145,605)---0.0308%
1960---79---利比亚---非洲---4.02亿 (401,644,248)---0.0293%
1960---80---洪都拉斯---美洲---3.36亿 (335,650,000)---0.0245%
1960---81---布基纳法索---非洲---3.30亿 (330,442,815)---0.0241%
1960---82---塞拉利昂---非洲---3.22亿 (322,009,961)---0.0235%
1960---83---乍得---非洲---3.14亿 (313,582,728)---0.0229%
1960---84---巴拉圭---美洲---2.89亿 (288,884,368)---0.0211%
1960---85---海地---美洲---2.73亿 (273,187,200)---0.0199%
1960---86---冰岛---欧洲---2.52亿 (252,169,712)---0.0184%
1960---87---巴布亚新几内亚---大洋洲---2.30亿 (230,496,036)---0.0168%
1960---88---尼加拉瓜---美洲---2.27亿 (227,223,322)---0.0166%
1960---89---贝宁---非洲---2.26亿 (226,195,578)---0.0165%
1960---90---布隆迪---非洲---1.96亿 (195,999,989)---0.0143%
1960---91---利比里亚---非洲---1.90亿 (190,495,600)---0.0139%
1960---92---索马里---非洲---1.80亿 (180,459,936)---0.0132%
1960---93---圭亚那---美洲---1.70亿 (170,216,241)---0.0124%
1960---94---巴哈马---美洲---1.70亿 (169,735,993)---0.0124%
1960---95---马拉维---非洲---1.63亿 (162,956,740)---0.0119%
1960---96---毛里求斯---非洲---1.62亿 (162,089,563)---0.0118%
1960---97---加蓬---非洲---1.41亿 (141,468,977)---0.0103%
1960---98---刚果（布）---非洲---1.32亿 (131,731,862)---0.0096%
1960---99---多哥---非洲---1.21亿 (121,128,072)---0.0088%
1960---100---卢旺达---非洲---1.19亿 (119,000,024)---0.0087%
1960---101---斐济群岛---大洋洲---1.12亿 (112,328,422)---0.0082%
1960---102---中非---非洲---1.12亿 (112,155,598)---0.0082%
1960---103---苏里南---美洲---9965万 (99,650,000)---0.0073%
1960---104---毛里塔尼亚---非洲---9261万 (92,609,243)---0.0068%
1960---105---巴巴多斯---美洲---8002万 (80,021,846)---0.0058%
1960---106---百慕大---美洲---7240万 (72,400,000)---0.0053%
1960---107---阿曼---亚洲---4423万 (44,234,653)---0.0032%
1960---108---斯威士兰---非洲---3508万 (35,076,845)---0.0026%
1960---109---莱索托---非洲---3458万 (34,579,986)---0.0025%
1960---110---博茨瓦纳---非洲---3041万 (30,411,413)---0.0022%
1960---111---伯利兹---美洲---2807万 (28,072,478)---0.0020%
1960---112---圣文森特和格林纳丁斯---美洲---1307万 (13,066,634)---0.0010%
1960---113---圣基茨和尼维斯---美洲---1237万 (12,366,635)---0.0009%
1960---114---塞舌尔---非洲---1201万 (12,012,024)---0.0009%
